id,timestamp,user,ip_address,action,status,location,device,failed_attempts,session_duration_min,bytes_transferred,anomaly_label
0,2024-01-01T03:48:35,user_018,185.234.218.21,ADMIN_PANEL,SUCCESS,"Amsterdam, Netherlands",Ubuntu 22.04,0,196,347190,unusual_time
1,2024-01-01T08:19:29,user_049,192.168.242.146,DATA_EXPORT,SUCCESS,"Seattle, US",iOS 17,0,131,30287,normal
2,2024-01-01T09:45:41,user_012,10.223.175.92,FILE_ACCESS,SUCCESS,"Austin, US",MacOS Ventura,0,78,42031,normal
3,2024-01-01T11:44:58,user_028,172.22.145.226,DATA_EXPORT,SUCCESS,"Chicago, US",Windows 10,1,133,5501,normal
4,2024-01-01T12:13:27,user_020,10.223.175.92,PASSWORD_CHANGE,SUCCESS,"Austin, US",iOS 17,1,350,14105,normal
5,2024-01-01T13:01:40,user_041,10.218.204.113,SSH_LOGIN,SUCCESS,"Chicago, US",iOS 17,0,315,31854,normal
6,2024-01-01T14:44:34,user_046,10.209.39.139,FILE_ACCESS,SUCCESS,"Seattle, US",Android 14,0,315,29502,normal
7,2024-01-01T15:04:08,user_014,10.223.175.92,LOGOUT,SUCCESS,"Austin, US",Windows 10,0,361,22616,normal
8,2024-01-01T17:33:48,user_025,192.168.205.31,ADMIN_PANEL,SUCCESS,"Chicago, US",Android 14,1,177,24399,normal
9,2024-01-02T02:10:12,user_011,185.234.218.21,FILE_ACCESS,SUCCESS,"Bucharest, Romania",iOS 17,0,156,279015,unusual_time
10,2024-01-02T02:48:33,user_003,91.92.248.11,ADMIN_PANEL,SUCCESS,"Amsterdam, Netherlands",iOS 17,0,40,264569,unusual_time
11,2024-01-02T09:20:55,user_009,192.168.64.87,DATA_EXPORT,SUCCESS,"Los Angeles, US",Windows 10,0,375,24274,normal
12,2024-01-02T09:34:47,user_001,10.148.206.142,SSH_LOGIN,SUCCESS,"Los Angeles, US",MacOS Ventura,1,393,36987,normal
13,2024-01-02T11:29:14,user_025,10.91.66.201,DATA_EXPORT,SUCCESS,"Seattle, US",Ubuntu 22.04,0,39,14423,normal
14,2024-01-02T11:45:12,user_034,10.86.59.91,LOGOUT,SUCCESS,"Seattle, US",Windows 10,0,478,14125,normal
15,2024-01-02T13:30:40,user_030,185.220.101.47,LOGIN,FAILURE,"Moscow, Russia",iOS 17,1,0,0,brute_force
16,2024-01-02T13:31:10,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",Android 14,2,0,0,brute_force
17,2024-01-02T13:31:40,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",Ubuntu 22.04,3,0,0,brute_force
18,2024-01-02T13:32:10,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",Windows 10,4,0,0,brute_force
19,2024-01-02T13:32:40,user_030,185.220.101.47,LOGIN,FAILURE,"Amsterdam, Netherlands",MacOS Ventura,5,0,0,brute_force
20,2024-01-02T13:33:10,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",Ubuntu 22.04,6,0,0,brute_force
21,2024-01-02T13:33:40,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",iOS 17,7,0,0,brute_force
22,2024-01-02T13:34:10,user_030,185.220.101.47,LOGIN,FAILURE,"Moscow, Russia",MacOS Ventura,8,0,0,brute_force
23,2024-01-02T13:34:40,user_030,185.220.101.47,LOGIN,FAILURE,"Moscow, Russia",MacOS Ventura,9,0,0,brute_force
24,2024-01-02T13:35:10,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",MacOS Ventura,10,0,0,brute_force
25,2024-01-02T13:35:40,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",Windows 10,11,0,0,brute_force
26,2024-01-02T13:36:10,user_030,185.220.101.47,LOGIN,FAILURE,"Moscow, Russia",Android 14,12,0,0,brute_force
27,2024-01-02T13:36:40,user_030,185.220.101.47,LOGIN,FAILURE,"Amsterdam, Netherlands",Android 14,13,0,0,brute_force
28,2024-01-02T13:37:10,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",Windows 10,14,0,0,brute_force
29,2024-01-02T13:37:40,user_030,185.220.101.47,LOGIN,FAILURE,"Moscow, Russia",Windows 10,15,0,0,brute_force
30,2024-01-02T13:38:10,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",Ubuntu 22.04,16,0,0,brute_force
31,2024-01-02T13:38:40,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",Ubuntu 22.04,17,0,0,brute_force
32,2024-01-02T13:39:10,user_030,185.220.101.47,LOGIN,FAILURE,"Bucharest, Romania",Android 14,18,0,0,brute_force
33,2024-01-02T13:39:40,user_030,185.220.101.47,LOGIN,FAILURE,"Shanghai, China",Windows 10,19,0,0,brute_force
34,2024-01-02T14:05:14,user_036,172.22.144.9,ADMIN_PANEL,SUCCESS,"Los Angeles, US",iOS 17,1,265,46329,normal
35,2024-01-02T14:30:21,user_011,10.148.206.142,LOGIN,SUCCESS,"New York, US",Windows 10,0,10,5000,impossible_travel
36,2024-01-02T14:42:17,user_005,10.239.148.215,SSH_LOGIN,SUCCESS,"Chicago, US",Windows 10,0,154,42659,normal
37,2024-01-02T14:45:21,user_011,91.92.248.11,LOGIN,SUCCESS,"Moscow, Russia",Ubuntu 22.04,0,30,50000,impossible_travel
38,2024-01-02T16:07:29,user_017,10.218.204.113,DATA_EXPORT,SUCCESS,"Chicago, US",Android 14,1,426,41947,normal
39,2024-01-02T19:26:13,user_045,172.22.145.226,FILE_ACCESS,SUCCESS,"New York, US",Windows 10,1,347,20077,normal
40,2024-01-03T02:51:24,user_047,91.92.248.11,ADMIN_PANEL,SUCCESS,"Shanghai, China",Ubuntu 22.04,0,226,903222,unusual_time
41,2024-01-03T08:34:01,user_010,10.81.82.76,LOGIN,SUCCESS,"Los Angeles, US",iOS 17,0,124,6011,normal
42,2024-01-03T08:48:53,user_008,172.17.78.30,LOGIN,SUCCESS,"New York, US",Ubuntu 22.04,0,326,39397,normal
43,2024-01-03T08:59:08,user_037,192.168.167.144,FILE_ACCESS,SUCCESS,"Seattle, US",Android 14,1,200,13482,normal
44,2024-01-03T11:54:01,user_045,192.168.132.183,ADMIN_PANEL,SUCCESS,"Los Angeles, US",iOS 17,0,49,19820,normal
45,2024-01-03T13:02:29,user_035,10.239.148.215,SSH_LOGIN,SUCCESS,"Seattle, US",iOS 17,1,15,45710,normal
46,2024-01-03T14:27:54,user_049,192.168.198.48,SSH_LOGIN,SUCCESS,"Chicago, US",Android 14,0,288,47721,normal
47,2024-01-03T17:28:24,user_039,192.168.224.150,DATA_EXPORT,SUCCESS,"Seattle, US",Android 14,0,124,1490,normal
48,2024-01-03T17:29:37,user_029,10.211.183.83,LOGIN,SUCCESS,"New York, US",Windows 10,0,10,5000,impossible_travel
49,2024-01-03T17:43:21,user_014,10.239.196.237,LOGIN,FAILURE,"Chicago, US",Windows 10,1,197,41159,normal
50,2024-01-03T17:44:37,user_029,2.58.56.201,LOGIN,SUCCESS,"Moscow, Russia",Ubuntu 22.04,0,30,50000,impossible_travel
51,2024-01-03T18:34:39,user_045,172.23.72.7,DATA_EXPORT,SUCCESS,"Austin, US",Windows 10,1,333,44212,normal
52,2024-01-04T08:40:49,user_028,10.223.175.92,LOGOUT,SUCCESS,"Seattle, US",Windows 10,1,17,48749,normal
53,2024-01-04T09:16:04,user_031,172.28.100.147,DATA_EXPORT,SUCCESS,"Los Angeles, US",MacOS Ventura,1,216,23240,normal
54,2024-01-04T10:34:14,user_031,172.22.145.226,DATA_EXPORT,SUCCESS,"Seattle, US",Ubuntu 22.04,0,157,44486,normal
55,2024-01-04T11:18:02,user_049,192.168.205.31,LOGOUT,SUCCESS,"Los Angeles, US",iOS 17,1,286,33576,normal
56,2024-01-04T12:50:28,user_041,192.168.78.214,LOGOUT,SUCCESS,"Austin, US",iOS 17,0,353,38495,normal
57,2024-01-04T13:56:26,user_049,10.132.205.99,FILE_ACCESS,SUCCESS,"Chicago, US",MacOS Ventura,0,59,8720,normal
58,2024-01-04T15:54:25,user_004,192.168.248.20,DATA_EXPORT,SUCCESS,"Austin, US",Windows 10,0,169,39965,normal
59,2024-01-04T19:59:21,user_012,10.132.205.99,SSH_LOGIN,SUCCESS,"Los Angeles, US",Ubuntu 22.04,0,408,46058,normal
60,2024-01-05T08:09:50,user_001,10.218.204.113,SSH_LOGIN,SUCCESS,"Seattle, US",Ubuntu 22.04,1,92,37598,normal
61,2024-01-05T09:09:38,user_022,192.168.167.144,SSH_LOGIN,SUCCESS,"Austin, US",iOS 17,0,343,28947,normal
62,2024-01-05T09:13:14,user_002,192.168.224.150,PASSWORD_CHANGE,SUCCESS,"Los Angeles, US",Android 14,1,117,29539,normal
63,2024-01-05T10:31:41,user_048,192.168.91.73,ADMIN_PANEL,SUCCESS,"Seattle, US",Windows 10,0,364,42618,normal
64,2024-01-05T12:12:21,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",MacOS Ventura,1,0,0,brute_force
65,2024-01-05T12:12:51,user_022,2.58.56.201,LOGIN,FAILURE,"Moscow, Russia",Android 14,2,0,0,brute_force
66,2024-01-05T12:13:21,user_022,2.58.56.201,LOGIN,FAILURE,"Shanghai, China",Windows 10,3,0,0,brute_force
67,2024-01-05T12:13:51,user_022,2.58.56.201,LOGIN,FAILURE,"Moscow, Russia",iOS 17,4,0,0,brute_force
68,2024-01-05T12:14:21,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",Android 14,5,0,0,brute_force
69,2024-01-05T12:14:51,user_022,2.58.56.201,LOGIN,FAILURE,"Bucharest, Romania",Ubuntu 22.04,6,0,0,brute_force
